Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),FAN COIL WITH CONST FAN VAR FLUID FLOW - FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 01/04  15:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/04  16:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/04  17:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/04  18:00:00,3417018.5905388244,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3860.8653457250757 
 01/04  19:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8578.189252923645 
 01/04  20:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10465.615452532915 
 01/04  21:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14794.979947291678 
 01/04  22:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16504.950382416424 
 01/04  23:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,0.0 
 01/04  24:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,460.31052852022503 
 01/05  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,2211.8819880517694 
 01/05  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3391.7534925691107 
 01/05  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4357.874564188381 
 01/05  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5284.178184866345 
 01/05  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6229.591175182733 
 01/05  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6708.3599386376345 
 01/05  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,39201.148209670224 
 01/05  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,28900.16561477046 
 01/05  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12930.820979985978 
 01/05  10:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6955.157986608687 
 01/05  11:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,2753.305497745547 
 01/05  12:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,106.02971370426268 
 01/05  13:00:00,4393309.616407061,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/05  14:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/05  15:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,262615.79808889795,0.0,0.0,0.0,0.0 
 01/05  16:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,371202.9935442084,0.0,0.0,0.0,0.0 
 01/05  17:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,251358.10022241093,0.0,0.0,0.0,0.0 
 01/05  18:00:00,3417018.5905388244,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/05  19:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,933.9482811463993 
 01/05  20:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4873.372804225179 
 01/05  21:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10080.905827887005 
 01/05  22:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11488.624112743066 
 01/05  23:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,0.0 
 01/05  24:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/06  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,0.0 
 01/06  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,900.8749327975197 
 01/06  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,2646.077861838378 
 01/06  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3973.9284784740776 
 01/06  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5205.150724524828 
 01/06  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6106.856555971717 
 01/06  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,38282.34074930781 
 01/06  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,29839.677960961413 
 01/06  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,18020.042071575062 
 01/06  10:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16430.92926234 
 01/06  11:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14757.36599810409 
 01/06  12:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13224.089540155559 
 01/06  13:00:00,4393309.616407061,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13387.06085650869 
 01/06  14:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11107.533684315376 
 01/06  15:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10673.896930157607 
 01/06  16:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10735.963802029213 
 01/06  17:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11354.795731540693 
 01/06  18:00:00,3417018.5905388244,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14888.423437085412 
 01/06  19:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,19078.673395626134 
 01/06  20:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,19977.149103278323 
 01/06  21:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,23756.39312016049 
 01/06  22:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,24610.177810198667 
 01/06  23:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,1752.166130795647 
 01/06  24:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5768.719266122553 
 01/07  01:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7700.880146936573 
 01/07  02:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8937.396654235847 
 01/07  03:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9971.4838575302 
 01/07  04:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10836.801142480574 
 01/07  05:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11632.0010290905 
 01/07  06:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12511.883794834723 
 01/07  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,47420.09663136632 
 01/07  08:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,40626.11608821261 
 01/07  09:00:00,2440727.5646705893,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,29221.95079876749 
 01/07  10:00:00,2440727.5646705893,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,27098.945199749833 
 01/07  11:00:00,2440727.5646705893,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,24361.7850800747 
 01/07  12:00:00,2440727.5646705893,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,21066.011455836106 
 01/07  13:00:00,2440727.5646705893,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,15741.649305563393 
 01/07  14:00:00,2440727.5646705893,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12026.736427118649 
 01/07  15:00:00,732218.2694011768,1102765.0905829843,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13606.340053539094 
 01/07  16:00:00,732218.2694011768,1102765.0905829843,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12335.79000395156 
 01/07  17:00:00,732218.2694011768,1102765.0905829843,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14656.166348202554 
 01/07  18:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,18523.173015779368 
 01/07  19:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,0.0 
 01/07  20:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,1138.827392174219 
 01/07  21:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3176.5754776036333 
 01/07  22:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4386.5173754504785 
 01/07  23:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5404.480720817198 
 01/07  24:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6570.247079964489 
 01/08  01:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7822.913506064411 
 01/08  02:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9097.998842159597 
 01/08  03:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10017.974505846298 
 01/08  04:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10832.923990688127 
 01/08  05:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11759.229007753424 
 01/08  06:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,12859.7746755851 
 01/08  07:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14068.313855242122 
 01/08  08:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14537.091080907752 
 01/08  09:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13300.708043101722 
 01/08  10:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11653.714376583603 
 01/08  11:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9906.59820039216 
 01/08  12:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8354.050724535391 
 01/08  13:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6736.01746973106 
 01/08  14:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5476.849508882661 
 01/08  15:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7252.01508563273 
 01/08  16:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9072.195738958935 
 01/08  17:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10791.516700508615 
 01/08  18:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,13476.796234904588 
 01/08  19:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,15493.608117693155 
 01/08  20:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,17187.460299083938 
 01/08  21:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,18376.70641559874 
 01/08  22:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,19135.88869598427 
 01/08  23:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,19861.326730604607 
 01/08  24:00:00,244072.75646705893,945227.220499701,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,20571.388663606536 
 01/09  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,20770.513975532933 
 01/09  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,21520.329759182496 
 01/09  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,22326.534535982715 
 01/09  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,23326.838281598044 
 01/09  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,24532.311096647434 
 01/09  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,25167.745600909457 
 01/09  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,64166.4014998369 
 01/09  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,49761.265773473446 
 01/09  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,26706.13998853046 
