Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/11  12:00:00,181676111.8892365,147780370.13001758 
 01/11  13:00:00,174086662.64619488,139978359.56691638 
 01/11  14:00:00,166521083.32152832,135835325.7401832 
 01/11  15:00:00,159575853.26444805,135106570.27050194 
 01/11  16:00:00,165226046.4832765,153433102.51724377 
 01/11  17:00:00,193591911.76763797,191493333.8606837 
 01/11  18:00:00,258056475.67146873,258056475.67146868 
 01/11  19:00:00,257437098.49427453,257437098.49427447 
 01/11  20:00:00,243789980.40043274,243789980.4004328 
 01/11  21:00:00,240372720.11435103,240372720.11435133 
 01/11  22:00:00,229904861.19141683,229904861.1914171 
 01/11  23:00:00,204320616.91161194,204320616.9116122 
 01/11  24:00:00,181633309.13213786,181633309.13213813 
 01/12  01:00:00,163392781.43843424,163392781.4384344 
 01/12  02:00:00,159508122.02572018,159508122.02572027 
 01/12  03:00:00,159138305.6458209,159138305.64582092 
 01/12  04:00:00,159533325.74762306,159533325.74762303 
 01/12  05:00:00,162828005.4260624,162828005.42606246 
 01/12  06:00:00,175531005.64398783,175531005.64398798 
 01/12  07:00:00,192879603.21691546,192879603.21691582 
 01/12  08:00:00,193050307.87163708,192568778.65772024 
 01/12  09:00:00,202298238.66860944,199281179.98658833 
 01/12  10:00:00,185162821.47133136,179336859.45696062 
 01/12  11:00:00,176596089.20743942,168319287.28860587 
 01/12  12:00:00,175186975.44452494,165327424.30967999 
 01/12  13:00:00,171035763.16560215,160776922.3030437 
 01/12  14:00:00,167929729.50632238,158513152.25134015 
 01/12  15:00:00,166610869.01192206,159134066.6248964 
 01/12  16:00:00,175545103.90840435,170708273.64614713 
 01/12  17:00:00,205839469.4906179,203858029.4453315 
 01/12  18:00:00,281240871.63156605,281240871.631566 
 01/12  19:00:00,272120264.8152789,272120264.8152788 
 01/12  20:00:00,259066961.1293068,259066961.12930682 
 01/12  21:00:00,251522830.76862076,251522830.76862097 
 01/12  22:00:00,237392825.39438897,237392825.39438933 
 01/12  23:00:00,212642201.77510878,212642201.77510905 
 01/12  24:00:00,190279978.80208302,190279978.8020833 
 01/13  01:00:00,174068965.7896865,174068965.78968665 
 01/13  02:00:00,168957729.65191066,168957729.65191078 
 01/13  03:00:00,166116697.29338104,166116697.29338107 
 01/13  04:00:00,165039841.9265275,165039841.92652753 
 01/13  05:00:00,166547244.37484568,166547244.37484577 
 01/13  06:00:00,177463115.95833972,177463115.95833984 
 01/13  07:00:00,192417240.92306605,192417240.92306635 
 01/13  08:00:00,192385346.83907577,192361120.6502074 
 01/13  09:00:00,198498847.54988852,197940202.83243942 
 01/13  10:00:00,180362428.11084762,179076967.79218397 
 01/13  11:00:00,174766784.41447955,172802087.462672 
 01/13  12:00:00,175856804.49194804,173467130.57021847 
 01/13  13:00:00,172562074.2524306,170071090.05192193 
 01/13  14:00:00,169231624.81113073,166966937.8478322 
 01/13  15:00:00,166415264.82015204,164682004.26894373 
 01/13  16:00:00,173243516.69395822,172228254.6224805 
 01/13  17:00:00,201574897.03517178,201317227.44849116 
 01/13  18:00:00,281799235.88880616,281799235.88880605 
 01/13  19:00:00,267594106.98734063,267594106.98734054 
 01/13  20:00:00,253588138.73690546,253588138.73690546 
 01/13  21:00:00,247117871.1144639,247117871.11446416 
 01/13  22:00:00,233617324.75227034,233617324.75227064 
 01/13  23:00:00,205680926.53574038,205680926.5357407 
 01/13  24:00:00,182605074.98818293,182605074.98818326 
 01/14  01:00:00,166472918.67493847,166472918.67493856 
 01/14  02:00:00,164924734.9651355,164924734.9651356 
 01/14  03:00:00,177425155.90134537,177425155.9013455 
 01/14  04:00:00,186847019.94063896,186847019.9406391 
 01/14  05:00:00,189430048.5209425,189430048.52094266 
 01/14  06:00:00,201819254.42677635,201819254.4267765 
 01/14  07:00:00,217608512.39817852,217608512.39817882 
 01/14  08:00:00,218873148.6003189,218711077.98845273 
 01/14  09:00:00,216106286.9549208,214661443.68794 
 01/14  10:00:00,206295116.0341103,203290908.94355017 
 01/14  11:00:00,200068579.0085359,195688967.29713902 
 01/14  12:00:00,203993593.02966225,198760971.5931791 
 01/14  13:00:00,201911880.85659274,196474350.88249013 
 01/14  14:00:00,197421089.6948204,192434344.89443347 
 01/14  15:00:00,200525790.69099832,196604253.16138494 
 01/14  16:00:00,213213046.47683448,210732128.97877288 
 01/14  17:00:00,236744949.1335178,235809153.24623695 
 01/14  18:00:00,296303899.7484572,296303899.7484571 
 01/14  19:00:00,297243182.64990073,297243182.6499007 
 01/14  20:00:00,285024997.9450052,285024997.9450051 
 01/14  21:00:00,273155842.89327306,273155842.89327323 
 01/14  22:00:00,255361082.1152083,255361082.11520857 
 01/14  23:00:00,230478614.44428,230478614.44428033 
 01/14  24:00:00,209859514.4692101,209859514.46921042 
 01/15  01:00:00,194782606.9194174,194782606.91941756 
 01/15  02:00:00,190952241.26902276,190952241.26902294 
 01/15  03:00:00,185589163.31868684,185589163.31868705 
 01/15  04:00:00,182319711.0934618,182319711.09346196 
 01/15  05:00:00,184064871.02206194,184064871.0220621 
 01/15  06:00:00,195242837.5564351,195242837.5564352 
 01/15  07:00:00,209957002.74451503,209957002.74451533 
 01/15  08:00:00,210537052.92584145,210537052.92584175 
 01/15  09:00:00,222065977.06495863,221910737.53752017 
 01/15  10:00:00,224698551.127633,224095238.50080553 
 01/15  11:00:00,221065002.54376888,220075643.93155974 
 01/15  12:00:00,227541563.38078254,226305331.5588209 
 01/15  13:00:00,228432469.4001383,227144731.2205074 
 01/15  14:00:00,226183646.13747746,225034655.28431368 
 01/15  15:00:00,234835527.08475983,233966202.19884154 
 01/15  16:00:00,250817916.1702223,250351714.02151188 
 01/15  17:00:00,272166683.80485827,272107345.0456532 
 01/15  18:00:00,328291484.24722695,328291484.24722695 
 01/15  19:00:00,327504130.534417,327504130.534417 
 01/15  20:00:00,314985420.9073818,314985420.9073818 
 01/15  21:00:00,302220418.5770979,302220418.577098 
 01/15  22:00:00,285097072.19908834,285097072.1990887 
 01/15  23:00:00,260818237.89573103,260818237.89573136 
 01/15  24:00:00,241538933.5563419,241538933.55634224 
 01/16  01:00:00,226841680.07203597,226841680.07203615 
 01/16  02:00:00,224213273.92253357,224213273.92253375 
 01/16  03:00:00,219205385.83412123,219205385.8341214 
 01/16  04:00:00,215924227.2375669,215924227.237567 
 01/16  05:00:00,218307808.1448237,218307808.14482385 
 01/16  06:00:00,229943836.003388,229943836.00338808 
 01/16  07:00:00,244441666.84600604,244441666.84600636 
 01/16  08:00:00,240418854.02019948,239239113.35854274 
 01/16  09:00:00,245321320.53362077,239882768.9876481 
 01/16  10:00:00,235087286.76100582,223491477.7909849 
 01/16  11:00:00,206320257.93158263,182396260.6790271 
 01/16  12:00:00,196295164.9231505,166313139.91703287 
 01/16  13:00:00,186825685.89242613,154798530.15423787 
 01/16  14:00:00,178235849.291849,147863710.03708628 
 01/16  15:00:00,170377179.80227035,147301573.55588174 
 01/16  16:00:00,174567244.2330895,165053151.31874853 
 01/16  17:00:00,202997499.8713155,198908696.95545852 
 01/16  18:00:00,265648699.5921077,265648699.5921077 
 01/16  19:00:00,268907979.31272274,268907979.31272274 
 01/16  20:00:00,260831018.1691094,260831018.1691094 
 01/16  21:00:00,264321103.6870338,264321103.687034 
 01/16  22:00:00,257801617.55511725,257801617.55511755 
 01/16  23:00:00,236066926.92661044,236066926.9266108 
 01/16  24:00:00,217704131.38704795,217704131.3870483 
 01/17  01:00:00,202424222.8592805,202424222.85928065 
 01/17  02:00:00,199377390.22373304,199377390.22373325 
 01/17  03:00:00,185408056.53141177,185408056.53141192 
 01/17  04:00:00,175651156.97073922,175651156.9707393 
 01/17  05:00:00,177570307.87160194,177570307.87160206 
 01/17  06:00:00,188313475.53529495,188313475.53529507 
 01/17  07:00:00,203272761.42514074,203272761.42514104 
 01/17  08:00:00,204414493.2921748,204414493.29217508 
 01/17  09:00:00,232742788.72882447,232649006.65477407 
 01/17  10:00:00,205125477.41089886,204660228.7014616 
 01/17  11:00:00,200746199.7764288,199950965.55520454 
 01/17  12:00:00,202863535.36859366,201828053.21012545 
 01/17  13:00:00,200227072.83986995,199141584.75144726 
 01/17  14:00:00,197376274.0910656,196430932.83945984 
 01/17  15:00:00,197276642.93983224,196600187.29749012 
 01/17  16:00:00,205932081.74399868,205597025.61115626 
 01/17  17:00:00,233972396.55682537,233948352.38648498 
 01/17  18:00:00,368179810.2616104,368179810.2616104 
 01/17  19:00:00,334106384.33651674,334106384.3365167 
 01/17  20:00:00,318142124.2267643,318142124.2267643 
 01/17  21:00:00,316326741.1507801,316326741.1507802 
 01/17  22:00:00,307625499.29819345,307625499.29819375 
 01/17  23:00:00,283863830.75951535,283863830.75951564 
 01/17  24:00:00,264436425.1240627,264436425.124063 
 01/18  01:00:00,249366578.4397425,249366578.43974262 
 01/18  02:00:00,246376855.1405769,246376855.140577 
 01/18  03:00:00,236666521.76064202,236666521.76064217 
 01/18  04:00:00,230529543.94564018,230529543.94564033 
 01/18  05:00:00,232877009.36699083,232877009.36699104 
 01/18  06:00:00,243890754.81165054,243890754.81165072 
 01/18  07:00:00,257862251.14606777,257862251.14606813 
 01/18  08:00:00,256864438.38090533,256685991.20397395 
 01/18  09:00:00,259736604.30341882,258348173.75944322 
 01/18  10:00:00,204968243.77342427,202143100.16837692 
 01/18  11:00:00,198683101.79029667,194596404.14024833 
 01/18  12:00:00,199294334.9358627,194408327.2825628 
 01/18  13:00:00,195652135.88034013,190562809.29295433 
 01/18  14:00:00,192678809.44013354,188031756.97065523 
 01/18  15:00:00,192376921.5519275,188733000.7943843 
 01/18  16:00:00,200967288.42885244,198652106.0336475 
 01/18  17:00:00,229926388.6921407,229049198.5306144 
 01/18  18:00:00,372341561.0168716,372327605.5184743 
 01/18  19:00:00,337943533.2095822,337943533.20958215 
 01/18  20:00:00,322592240.32698435,322592240.3269843 
 01/18  21:00:00,312846744.1728806,312846744.17288077 
 01/18  22:00:00,297278351.66353446,297278351.66353476 
 01/18  23:00:00,270873999.8777718,270873999.8777721 
 01/18  24:00:00,248735088.9899037,248735088.98990402 
 01/19  01:00:00,231772292.939959,231772292.9399592 
 01/19  02:00:00,227125726.50302017,227125726.5030203 
 01/19  03:00:00,224949398.12153193,224949398.1215321 
 01/19  04:00:00,223805889.70640263,223805889.70640284 
 01/19  05:00:00,225098994.27403963,225098994.27403975 
 01/19  06:00:00,235867641.35604706,235867641.35604724 
 01/19  07:00:00,250500648.56966713,250500648.56966752 
 01/19  08:00:00,250434417.76075637,250035390.71438956 
 01/19  09:00:00,258452535.55820343,255970890.27333662 
 01/19  10:00:00,204833756.41011536,200021621.1743466 
 01/19  11:00:00,198070413.78749466,191280644.6262921 
 01/19  12:00:00,197935910.8672003,189832439.37815356 
 01/19  13:00:00,193494488.6833719,185082191.72240645 
 01/19  14:00:00,190129129.68710184,182391849.88639572 
 01/19  15:00:00,190531908.0843031,184386785.45110157 
 01/19  16:00:00,200763423.38905525,196773847.8134222 
 01/19  17:00:00,231761878.12194306,230065259.49038607 
 01/19  18:00:00,382381447.15265834,382310720.2937676 
 01/19  19:00:00,349361553.6403203,349361553.6403203 
 01/19  20:00:00,334591654.79130816,334591654.7913081 
 01/19  21:00:00,322776664.4394487,322776664.4394488 
 01/19  22:00:00,304832599.3820988,304832599.3820991 
 01/19  23:00:00,277599649.5277743,277599649.5277747 
 01/19  24:00:00,255460914.44997385,255460914.44997412 
 01/20  01:00:00,238973188.0537798,238973188.05377996 
 01/20  02:00:00,236190283.6366804,236190283.63668054 
 01/20  03:00:00,231828494.09878665,231828494.0987868 
 01/20  04:00:00,229821837.61454105,229821837.61454126 
 01/20  05:00:00,234006658.44026163,234006658.44026178 
 01/20  06:00:00,246843781.0787182,246843781.07871827 
 01/20  07:00:00,262279582.38810334,262279582.38810366 
 01/20  08:00:00,255142212.87466958,253545694.06018037 
 01/20  09:00:00,224648486.47291845,212823010.51091418 
 01/20  10:00:00,185970401.23524702,162090018.2034099 
 01/20  11:00:00,177441890.91915202,148581151.55816755 
 01/20  12:00:00,175152516.45009434,143224877.12708881 
 01/20  13:00:00,167613243.85945648,144597001.936638 
 01/20  14:00:00,161956427.03386897,139224682.52422088 
 01/20  15:00:00,159757090.86947843,132853641.14780366 
 01/20  16:00:00,167995508.70863485,152288492.6515526 
 01/20  17:00:00,198521165.97756037,194557070.27299592 
 01/20  18:00:00,258235713.22443807,258119193.59714368 
 01/20  19:00:00,261904248.73281115,261904248.7328111 
 01/20  20:00:00,250014357.63949323,250014357.63949326 
 01/20  21:00:00,248458140.1512838,248458140.15128404 
 01/20  22:00:00,240794324.4796414,240794324.47964168 
 01/20  23:00:00,218185959.23219988,218185959.2322002 
 01/20  24:00:00,197950037.991948,197950037.99194828 
 01/21  01:00:00,181979408.0088024,181979408.00880253 
 01/21  02:00:00,179366726.9139573,179366726.91395745 
 01/21  03:00:00,176880461.44341105,176880461.44341117 
 01/21  04:00:00,176437621.20968583,176437621.20968598 
 01/21  05:00:00,178515483.5901073,178515483.59010738 
 01/21  06:00:00,190618717.32257771,190618717.3225778 
 01/21  07:00:00,206286954.53458363,206286954.53458393 
 01/21  08:00:00,207580487.39195013,207437794.2089635 
 01/21  09:00:00,203905105.28097528,202751891.427655 
 01/21  10:00:00,194501182.45297912,192170872.25024757 
 01/21  11:00:00,189185743.2629199,185838011.41928294 
