Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 01/01  22:00:00,1464436.5388023537,1575378.7008328347,1035639.5459141589,110785.63290393612,3039857.295061235,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,244072.75646705893,1260302.960666268,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,506863.34083434567,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,2194257.447005933,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,3683386.406630545,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,4412039.482719272,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,488145.51293411787,1260302.960666268,1035639.5459141589,110785.63290393612,4105645.462975412,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,488145.51293411787,1260302.960666268,1018378.8868155896,110785.63290393612,18140473.01817228,0.0,0.0,0.0,0.0,0.0 
